uid	name	conference	division	colhelmet	colshirt	colpants	coltertiary	tla	defense	offense	wins	losses	ties	roof	rainfall	snowfall	helmet	rival	academics	type	state	reputation_int	reputation
53	Philadelphia	3	0	$9d2235	$9d2235	$9d2235	$ffffff	PHI	5	3	0	0	0	0	47	15	0	-1	1	0	PA	0	0000
54	New Orleans	3	0	$ffffff	$006747	$ffffff	$418fde	N.O	5	5	0	0	0	0	50	0	0	144	2	0	LA	0	0000
55	Tulsa	3	0	$c5b783	$002d72	$ffffff	$c8102e	TUL	3	3	0	0	0	0	35	1	0	-1	0	Religious	OK	0	0000
56	C. Florida	3	0	$ba9b37	$303030	$303030	$ffffff	CFL	6	9	0	0	0	0	50	0	0	52	0	0	FL	0	0000
57	Waco	4	0	$003015	$003015	$003015	$fecb00	WAC	7	6	0	0	0	0	43	0	0	63	0	Religious	TX	1	0001
58	Iowa S.	4	0	$c8102e	$c8102e	$c8102e	$f1be48	IAS	5	5	0	0	0	0	36	29	0	69	0	0	IA	0	0010
59	Kansas	4	0	$0051ba	$0051ba	$0051ba	$e8000d	KS.	2	2	0	0	0	0	36	15	0	60	0	0	KS	0	0000
60	Kansas S.	4	0	$d1d1d1	$512888	$d1d1d1	$ffffff	KAS	7	4	0	0	0	0	36	15	0	59	0	0	KS	0	0000
61	Oklahoma	4	0	$841617	$841617	$ffffff	$ffffff	OK.	5	8	0	0	0	0	33	4	0	64	0	0	OK	3	1110
62	Oklahoma S.	4	0	$ffffff	$ff7300	$ffffff	$000000	OKS	5	5	0	0	0	0	34	4	0	61	0	0	OK	1	0001
63	Ft. Worth	4	0	$606060	$4d1979	$000000	$ffffff	FTW	5	4	0	0	0	0	31	1	0	57	0	Religious	TX	0	0000
64	Texas	4	0	$ffffff	$bf5700	$ffffff	$bf5700	TX.	5	6	0	0	0	0	30	0	0	61	0	0	TX	1	1000
65	Texas T.	4	0	$cc0000	$cc0000	$cc0000	$000000	TXT	4	5	0	0	0	0	24	1	0	-1	0	0	TX	0	0000
66	W. Virginia	4	0	$002855	$eaaa00	$eaaa00	$eaaa00	WVA	4	1	0	0	0	0	45	15	0	-1	0	0	WV	0	0000
67	Illinois	5	0	$e84a27	$13294b	$e84a27	$ffffff	IL.	5	3	0	0	0	0	38	31	0	75	0	0	IL	0	0000
68	Indiana	5	1	$990000	$990000	$ffffff	$ffffff	IN.	6	5	0	0	0	0	38	31	0	78	0	0	IN	0	0000
69	Iowa	5	0	$000000	$000000	$ffcd00	$ffcd00	IA.	9	3	0	0	0	0	36	29	0	58	0	0	IA	0	0000
70	Maryland	5	1	$000000	$e03a3e	$ffffff	$000000	MD.	2	3	0	0	0	0	47	17	0	-1	0	0	MD	0	0000
71	Michigan	5	1	$00275d	$00275d	$ffd51d	$ffd51d	MI.	7	5	0	0	0	0	40	50	0	76	1	0	MI	1	0001
72	Michigan S.	5	1	$18453b	$18453b	$18453b	$ffffff	MIS	6	2	0	0	0	0	40	50	0	71	0	0	MI	1	0001
73	Minnesota	5	0	$7a0019	$7a0019	$7a0019	$ffcc33	MN.	6	6	0	0	0	0	50	50	0	80	1	0	MN	0	0000
74	Nebraska	5	0	$ffffff	$e41c38	$ffffff	$e41c38	NEB	5	4	0	0	0	0	32	30	0	-1	0	0	NE	0	0000
75	Evanston	5	0	$4e2a84	$4e2a84	$4e2a84	$ffffff	EVA	6	1	0	0	0	0	38	35	0	67	3	0	IL	0	0000
76	Ohio S.	5	1	$666666	$bb0000	$ffffff	$bb0000	OHS	10	10	0	0	0	0	40	20	0	71	0	0	OH	4	1111
77	Penn S.	5	1	$ffffff	$041e42	$ffffff	$041e42	PAS	9	6	0	0	0	0	45	45	2	41	1	0	PA	1	0100
78	Indiana P.	5	0	$333333	$333333	$333333	$ffcc99	INP	4	3	0	0	0	0	38	31	0	68	0	0	IN	0	0000
79	New Jersey	5	1	$cc0033	$cc0033	$cc0033	$ffffff	N.J	1	1	0	0	0	0	47	25	0	-1	0	0	NJ	0	0000
80	Wisconsin	5	0	$ffffff	$c5050c	$ffffff	$c5050c	WI.	8	6	0	0	0	0	33	48	0	73	1	0	WI	0	0000
81	Charlotte	6	0	$ffffff	$046a38	$ffffff	$000000	CHA	3	4	0	0	0	0	44	2	0	-1	0	0	NC	0	0000
82	Florida I.	6	0	$081e3f	$081e3f	$081e3f	$b6862c	FLI	5	3	0	0	0	0	50	0	0	83	0	0	FL	0	0000
83	Florida A.	6	0	$003366	$003366	$ffffff	$cc0000	FLA	6	6	0	0	0	0	50	0	0	82	0	0	FL	0	0000
84	Louisiana T.	6	0	$ffffff	$002f8b	$ffffff	$e31b23	LAT	7	5	0	0	0	0	60	0	0	157	0	0	LA	0	0000
85	Huntington	12	0	$ffffff	$00b140	$00b140	$000000	HUN	6	3	0	0	0	0	40	13	0	-1	0	0	WV	0	0000
86	M. Tennessee	6	0	$666666	$0066cc	$ffffff	$0066cc	MTN	4	3	0	0	0	0	45	2	0	94	0	0	TN	0	0000
87	N. Texas	6	0	$00853e	$00853e	$ffffff	$000000	NTX	3	5	0	0	0	0	32	1	0	-1	0	0	TX	0	0000
88	Norfolk	12	0	$7c878e	$003057	$7c878e	$ffffff	NFK	4	1	0	0	0	0	39	1	0	-1	0	0	VA	0	0000
89	Houston R.	6	0	$00205b	$00205b	$ffffff	$c1c6c8	H.R	5	1	0	0	0	0	51	0	0	48	2	0	TX	0	0000
90	S. Miss	12	1	$000000	$000000	$ffab00	$ffab00	SMS	5	3	0	0	0	0	55	0	0	-1	0	0	MS	0	0000
91	Alabama B.	6	0	$cca800	$006341	$cca800	$000000	ALB	7	2	0	0	0	0	40	0	0	-1	0	0	AL	0	0000
92	Texas E.P.	6	0	$ff8200	$041e42	$ff8200	$ffffff	TEP	2	1	0	0	0	0	10	1	0	98	0	0	TX	0	0000
93	Texas S.A.	6	0	$0c2340	$0c2340	$ffffff	$f15a22	TSA	2	1	0	0	0	2	20	0	0	160	0	0	TX	0	0000
94	W. Kentucky	6	0	$1e1e1e	$c603c0	$ffffff	$a2a4a3	WKY	7	3	0	0	0	0	35	2	0	86	0	0	KY	0	0000
95	Lynchburg	7	0	$c41230	$c41230	$c41230	$002d62	LYN	4	5	0	0	0	0	35	2	0	-1	0	Religious	VA	0	0000
96	Army	7	0	$d4bf91	$000000	$d4bf91	$d4bf91	ARM	6	4	0	0	0	0	40	25	0	50	2	Military	NY	0	0000
97	Provo	7	0	$ffffff	$002e5d	$ffffff	$002e5d	PRV	5	4	0	0	0	0	30	35	0	135	2	Religious	UT	0	0000
98	N.M. S.	7	0	$861f41	$861f41	$861f41	$ffffff	NMS	1	2	0	0	0	0	10	1	0	120	0	0	NM	0	0000
99	South Bend	7	0	$ae9142	$0c2340	$c99700	$ae9142	S.B	8	6	0	0	0	0	38	35	0	-1	2	Religious	IN	2	1010
100	Connecticut	7	0	$000e2f	$000e2f	$000e2f	$ffffff	CT.	1	1	0	0	0	0	40	30	0	-1	0	0	CT	0	0000
101	Mass.	7	0	$971b2f	$971b2f	$971b2f	$ffffff	MA.	1	1	0	0	0	0	40	30	0	-1	0	0	MA	0	0000
102	Akron	8	0	$a89968	$041e42	$041e42	$a89968	AKR	2	1	0	0	0	0	40	45	0	108	0	0	OH	0	0000
103	Muncie S.	8	1	$000000	$000000	$ba0c2f	$ffffff	MUN	3	6	0	0	0	0	42	21	0	110	0	0	IN	0	0000
104	Bowling G.	8	0	$4f2c1d	$4f2c1d	$fe5000	$fe5000	B.G	1	1	0	0	0	0	38	29	0	112	0	0	OH	0	0000
105	Buffalo	8	0	$005bbb	$005bbb	$000000	$ffffff	BUF	7	5	0	0	0	0	40	89	0	-1	0	0	NY	0	0000
106	C. Michigan	8	1	$6a0032	$6a0032	$ffc82e	$ffc82e	CMI	4	5	0	0	0	0	40	35	0	113	0	0	MI	0	0000
107	E. Michigan	8	1	$006633	$006633	$ffffff	$ffffff	EMI	4	4	0	0	0	0	39	32	0	106	0	0	MI	0	0000
108	Kent S.	8	0	$002664	$002664	$eaab00	$eaab00	KNT	3	4	0	0	0	0	38	19	0	102	0	0	OH	0	0000
109	Miami OH	8	0	$b61e2e	$b61e2e	$ffffff	$ffffff	MOH	4	3	0	0	0	0	40	15	0	111	0	0	OH	0	0000
110	N. Illinois	8	1	$000000	$ba0c2f	$ffffff	$ba0c2f	NIL	4	2	0	0	0	0	38	35	0	103	0	0	IL	0	0000
111	Ohio	8	0	$ffffff	$00694e	$ffffff	$00694e	OH.	5	6	0	0	0	0	40	16	0	109	0	0	OH	0	0000
112	Toledo	8	1	$15397f	$ffda00	$15397f	$15397f	TOL	3	4	0	0	0	0	38	29	0	104	0	0	OH	0	0000
113	W. Michigan	8	1	$6c2043	$6c2043	$b5a167	$b5a167	WMI	5	5	0	0	0	0	41	35	0	106	0	0	MI	0	0000
114	Air Force	9	0	$003087	$003087	$b1b3b3	$003087	A.F	7	6	0	0	0	0	14	67	0	116	0	Military	CO	0	0000
115	Boise S.	9	0	$0033a0	$0033a0	$0033a0	$d64309	B.S	7	6	0	0	0	0	40	35	0	-1	0	0	ID	0	0000
116	Colorado S.	9	0	$1e4d2b	$1e4d2b	$c8c372	$c8c372	COS	3	4	0	0	0	0	15	67	0	114	0	0	CO	0	0000
117	Fresno S.	9	1	$db0032	$db0032	$db0032	$ffffff	FRS	4	4	0	0	0	0	15	0	0	122	0	0	CA	0	0000
118	Hawaii	9	1	$024731	$024731	$024731	$b1b1b1	HI.	3	6	0	0	0	0	39	0	0	-1	0	0	HI	0	0000
119	Nevada	9	1	$003366	$003366	$ffffff	$ffffff	NV.	3	2	0	0	0	0	15	10	0	123	0	0	NV	0	0000
120	New Mexico	9	0	$a7a8aa	$ba0c2f	$ffffff	$ba0c2f	N.M	1	2	0	0	0	0	13	10	0	98	0	0	NM	0	0000
121	San Diego S.	9	1	$a61923	$000000	$000000	$000000	SAN	10	2	0	0	0	0	16	0	0	-1	0	0	CA	0	0000
122	San Jose S.	9	1	$0055a2	$0055a2	$0055a2	$e5a823	SJS	3	4	0	0	0	0	24	0	0	117	0	0	CA	0	0000
123	Nevada L.V.	9	1	$cf0a2c	$cf0a2c	$ffffff	$cac8c8	NLV	3	3	0	0	0	0	5	0	0	119	0	0	NV	0	0000
124	Utah S.	9	0	$0f2439	$0f2439	$0f2439	$9d968d	UTS	4	4	0	0	0	0	35	30	0	135	0	0	UT	0	0000
125	Wyoming	9	0	$ffffff	$492f24	$ffc425	$492f24	WY.	8	3	0	0	0	0	17	71	0	116	0	0	WY	0	0000
126	Arizona	10	1	$ab0520	$ab0520	$0c234b	$0c234b	AZ.	2	3	0	0	0	0	4	0	0	127	1	0	AZ	0	0000
127	Arizona S.	10	1	$fdc727	$8d0e3b	$fdc727	$000000	AZS	6	3	0	0	0	0	4	0	0	126	0	0	AZ	0	0000
128	California	10	0	$041e42	$041e42	$041e42	$ffc72c	CAL	7	2	0	0	0	0	20	0	0	132	2	0	CA	0	0000
129	Colorado	10	1	$d0b87c	$000000	$000000	$ffffff	CO.	3	2	0	0	0	0	25	65	0	116	1	0	CO	0	0000
130	Oregon	10	0	$004e27	$004e27	$fce012	$ffffff	OR.	9	6	0	0	0	0	50	5	0	131	0	0	OR	1	0100
131	Oregon S.	10	0	$ffffff	$f37421	$f37421	$c34500	ORS	3	5	0	0	0	0	50	5	0	130	0	0	OR	0	0000
132	Palo Alto	10	0	$ffffff	$9a0000	$ffffff	$9a0000	P.A	4	2	0	0	0	0	20	0	0	128	3	0	CA	0	0000
133	Cal L.A.	10	1	$ffc138	$0080c1	$ffc138	$ffffff	CLA	2	3	0	0	0	0	16	0	0	134	1	0	CA	0	0000
134	S. Cal.	10	1	$990000	$990000	$ffc72c	$ffc72c	SCA	4	5	0	0	0	0	16	0	0	133	0	0	CA	0	0000
135	Utah	10	1	$cc0000	$000000	$000000	$ffffff	UT.	9	5	0	0	0	0	26	40	0	97	0	0	UT	0	0000
136	Washington	10	0	$ecdca8	$3f366a	$ecdca8	$ffffff	WA.	8	5	0	0	0	0	67	1	0	137	1	0	WA	0	0000
137	Wash. S.	10	0	$a7a9ac	$a80532	$a80532	$ffffff	WAS	3	7	0	0	0	0	20	40	0	136	0	0	WA	0	0000
138	Alabama	11	1	$a8263b	$a8263b	$ffffff	$ffffff	AL.	8	10	0	0	0	0	45	3	0	140	0	0	AL	3	1011
139	Arkansas	11	1	$9d2235	$9d2235	$ffffff	$ffffff	AR.	1	2	0	0	0	0	36	10	0	144	0	0	AR	0	0000
140	Auburn	11	1	$ffffff	$0c2340	$ffffff	$e87722	AUB	7	5	0	0	0	0	41	1	0	138	0	0	AL	0	0000
141	Florida	11	0	$fa4616	$0021a5	$ffffff	$0021a5	FL.	9	5	0	0	0	0	47	0	0	142	0	0	FL	2	1100
142	Georgia	11	0	$ba0c2f	$ba0c2f	$ffffff	$000000	GA.	10	5	0	0	0	0	45	2	0	141	0	0	GA	3	0111
143	Kentucky	11	0	$0033a0	$0033a0	$ffffff	$ffffff	KY.	8	3	0	0	0	0	34	14	0	37	0	0	KY	0	0000
144	Louisiana S.	11	1	$ffffff	$333399	$ffffff	$ffc066	LAS	7	10	0	0	0	0	60	0	0	138	0	0	LA	2	1100
145	Miss. S.	11	1	$660000	$660000	$ffffff	$ffffff	MSS	4	4	0	0	0	0	30	0	0	147	0	0	MS	0	0000
146	Missouri	11	0	$000000	$000000	$f1b82d	$f1b82d	MO.	8	3	0	0	0	0	34	8	0	59	0	0	MO	0	0000
147	Mississippi	11	1	$14213d	$ce1126	$ffffff	$ce1126	MS.	5	3	0	0	0	0	30	0	0	145	0	0	MS	0	0000
148	S. Carolina	11	0	$ffffff	$73000a	$ffffff	$000000	S.C	5	2	0	0	0	0	28	5	0	33	0	0	SC	0	0000
149	Tennessee	11	0	$ffffff	$ff8200	$ffffff	$ff8200	TN.	7	3	0	0	0	0	43	3	0	151	0	0	TN	0	0000
150	Texas A.	11	1	$500000	$500000	$ffffff	$ffffff	TXA	6	4	0	0	0	0	41	0	0	64	0	0	TX	1	0010
151	Nashville	11	0	$866d4b	$000000	$000000	$000000	NSH	3	1	0	0	0	0	45	2	0	149	2	0	TN	0	0000
152	Appalachian	12	0	$000000	$000000	$000000	$ffcc00	APP	7	7	0	0	0	0	40	25	0	155	0	0	NC	0	0000
153	Arkansas S.	12	1	$000000	$000000	$cc092f	$cc092f	ARS	2	6	0	0	0	0	40	10	0	-1	0	0	AR	0	0000
154	C. Carolina	12	0	$111111	$006f41	$ffffff	$006f41	CCO	4	4	0	0	0	0	27	1	0	-1	0	0	SC	0	0000
155	Georgia So.	12	0	$011e41	$011e41	$ffffff	$ffffff	GSO	4	4	0	0	0	0	48	1	0	152	0	0	GA	0	0000
156	Georgia S.	12	0	$0039a6	$0039a6	$ffffff	$ffffff	GAS	2	5	0	0	0	0	51	1	0	-1	0	0	GA	0	0000
157	Louisiana	12	1	$ce181e	$ce181e	$ce181e	$ffffff	LA.	7	7	0	0	0	0	54	0	0	158	0	0	LA	0	0000
158	Louisiana M.	12	1	$ffffff	$800029	$ffffff	$800029	LAM	1	5	0	0	0	0	44	0	0	157	0	0	LA	0	0000
159	S. Alabama	12	1	$00205b	$bf0d3e	$ffffff	$bf0d3e	SAL	4	1	0	0	0	0	54	0	0	161	0	0	AL	0	0000
160	Texas S.	12	1	$501214	$501214	$8d734a	$8d734a	TXS	3	1	0	0	0	0	39	1	0	93	0	0	TX	0	0000
161	Troy	12	1	$b3b5b8	$8a2432	$8a2432	$8a2432	TRO	2	6	0	0	0	0	39	1	0	159	0	0	AL	0	0000
162	Harrisonb'g	12	0	$3C326E	$3C326E	$3C326E	$f6ead0	HBG	2	6	0	0	0	0	21	1	0	-1	0	0	VA	0	0000
163	Clarksville	20	0	$000000	$ff0000	$ffffff	$999999	CVL	6	7	0	0	0	0	23	0	0	-1	0	0	TN	0	0000
164	C. Arkansas	20	0	$CCCCCC	$663399	$663399	$663399	CAR	5	8	0	0	0	0	26	0	0	-1	0	0	AR	0	0000
165	E. Kentucky	20	0	$663333	$663333	$ffffff	$ffffff	EKY	6	6	0	0	0	0	27	0	0	-1	0	0	KY	0	0000
166	J'ville S.	20	0	$ff0000	$ff0000	$ffffff	$000000	JVS	5	4	0	0	0	0	24	0	0	262	0	0	AL	0	0000
167	Kennesaw	20	0	$ffd800	$666666	$666666	$000000	KEN	8	7	0	0	0	0	24	0	0	-1	0	0	GA	0	0000
168	N. Alabama	20	0	$663399	$663399	$C0A066	$ffffff	NAL	3	2	0	0	0	0	26	0	0	-1	0	0	AL	0	0000
169	S.L. Obispo	21	0	$333333	$333333	$ffcc99	$ffffff	SLO	3	2	0	0	0	0	8	0	0	179	1	0	CA	0	0000
170	E. Wash.	21	0	$ff0000	$ff0000	$ffffff	$000000	EWA	6	10	0	0	0	0	28	3	0	177	0	0	WA	0	0000
171	Idaho	21	0	$ffcc99	$000000	$666666	$000000	ID.	5	5	0	0	0	2	28	5	0	172	0	0	ID	0	0000
172	Idaho S.	21	0	$ffa800	$333333	$333333	$333333	IDS	4	2	0	0	0	2	28	5	0	171	0	0	ID	0	0000
173	Montana	21	0	$800000	$800000	$ffffff	$ffffff	MT.	8	6	0	0	0	0	30	0	0	174	0	0	MT	0	0000
174	Montana S.	21	0	$ffcc99	$663399	$ffcc99	$ffffff	MTS	9	6	0	0	0	0	30	0	0	173	0	0	MT	0	0000
175	N. Arizona	21	0	$333366	$333366	$333366	$ffff00	NAZ	5	5	0	0	0	2	13	0	0	288	0	0	AZ	0	0000
176	N. Colorado	21	0	$ffa800	$333366	$333366	$999999	NCO	5	2	0	0	0	0	17	0	0	-1	0	0	CO	0	0000
177	Portland S.	21	0	$336633	$336633	$333333	$ffffff	P.S	5	6	0	0	0	0	50	0	0	170	0	0	OR	0	0000
178	Sacramento	21	0	$339966	$339966	$ffffff	$ffffff	SAC	8	6	0	0	0	0	10	0	0	179	0	0	CA	0	0000
179	Cal. D.	21	0	$ffcc99	$333399	$333399	$ffffff	C.D	7	6	0	0	0	0	10	0	0	178	1	0	CA	0	0000
180	Ogden	21	0	$333399	$333333	$333333	$cccccc	OGD	8	7	0	0	0	0	23	0	0	-1	0	0	UT	0	0000
181	Rhode I. B.	22	0	$ffcc99	$333333	$ffcc99	$ffcc99	RIB	7	6	0	0	0	0	39	0	0	-1	0	0	RI	0	0000
182	N.C. Baptist	22	0	$ffffff	$ffa800	$ffa800	$000000	NCB	5	5	0	0	0	0	26	0	0	-1	0	0	NC	0	0000
183	Charleston S.	22	0	$ffcc99	$333399	$ffffff	$333399	CHS	5	5	0	0	0	0	26	0	0	-1	0	0	SC	0	0000
184	N.C.G.W.	22	0	$333333	$ff0000	$ffffff	$ff0000	NGW	5	6	0	0	0	0	26	0	0	-1	0	0	NC	0	0000
185	N.C. A.	22	0	$000099	$000099	$ffff00	$ffff00	NCA	6	4	0	0	0	0	26	0	0	211	0	HBU	NC	0	0000
186	Pitts. R.M.	22	0	$666666	$000066	$666666	$c00000	PRM	4	3	0	0	0	0	38	27	0	-1	0	0	PA	0	0000
187	Albany	23	0	$ffff00	$000099	$ffff00	$ffffff	ABY	6	3	0	0	0	0	35	0	0	195	0	0	NY	0	0000
188	Delaware	23	0	$000099	$000099	$000099	$ffff00	DE.	7	3	0	0	0	0	29	0	0	197	1	0	DE	0	0000
189	Elon	23	0	$ffcc99	$993333	$ffcc99	$993333	ELO	6	5	0	0	0	0	27	0	0	-1	0	0	NC	0	0000
190	Hampton	23	0	$cccccc	$0000ff	$0000ff	$ffffff	HAM	5	6	0	0	0	0	29	1	0	208	0	HBU	VA	0	0000
191	Maine	23	0	$333366	$333366	$333366	$99ccff	ME.	6	5	0	0	0	0	42	0	0	192	0	0	ME	0	0000
192	N. Hampshire	23	0	$ffcc99	$333366	$ffffff	$ffffff	NH.	5	2	0	0	0	0	39	0	0	191	0	0	NH	0	0000
193	Rhode I.	23	0	$99ccff	$333366	$333333	$333366	RI.	6	5	0	0	0	0	33	0	0	199	0	0	RI	0	0000
194	Richmond	23	0	$000099	$e03333	$000099	$e03333	RIC	7	5	0	0	0	0	31	4	0	198	1	0	VA	0	0000
195	Stony B.	23	0	$ff0000	$ff0000	$ff0000	$a0a0a0	STB	7	4	0	0	0	0	31	0	0	187	0	0	NY	0	0000
196	Towson	23	0	$333333	$333333	$333333	$ffd700	TOW	5	3	0	0	0	0	29	0	0	209	0	0	MD	0	0000
197	Villanova	23	0	$003366	$003366	$003366	$ffffff	VLA	8	6	0	0	0	0	30	0	0	188	1	0	PA	0	0000
198	W'msburg	23	0	$D0D0C0	$009966	$D0D0C0	$ffffff	W.M	7	4	0	0	0	0	29	1	0	194	2	0	VA	0	0000
199	Providence	24	0	$c0c0c0	$4c3333	$c0c0c0	$4c3333	PRO	2	6	0	0	0	0	39	0	0	193	3	Ivy	RI	0	0000
200	Manhattan	24	0	$333366	$333366	$ffffff	$99ccff	MAN	7	5	0	0	0	0	31	0	0	-1	3	Ivy	NY	0	0000
201	Ithaca	24	0	$ff0000	$ff0000	$ffffff	$ffffff	ITH	5	3	0	0	0	0	44	0	0	202	3	Ivy	NY	0	0000
202	Hanover	24	0	$ffffff	$336633	$ffffff	$336633	HAN	9	6	0	0	0	0	38	0	0	201	3	Ivy	NH	0	0000
203	Cambridge	24	0	$ff0000	$ff0000	$c0c099	$000000	CAM	9	7	0	0	0	0	36	0	0	206	3	Ivy	MA	0	0000
204	Pennsylvania	24	0	$000099	$000099	$ffffff	$c00000	PA.	7	3	0	0	0	0	28	0	0	205	3	Ivy	PA	0	0000
205	Princeton	24	0	$ffd800	$000000	$000000	$ffd800	PRI	8	7	0	0	0	0	29	0	0	204	3	Ivy	NJ	0	0000
206	New Haven	24	0	$ffffff	$000066	$ffffff	$000066	NHV	6	6	0	0	0	0	32	0	0	203	3	Ivy	CT	0	0000
207	Delaware S.	25	0	$ff3366	$ff3366	$ff3366	$ffffff	DES	6	4	0	0	0	0	29	0	0	188	0	HBU	DE	0	0000
208	Wash. D.C.	25	0	$c0c0c0	$666699	$666699	$666699	WDC	5	4	0	0	0	0	26	0	0	190	0	HBU	DC	0	0000
209	Balti. M.S.	25	0	$000099	$000099	$ffa800	$ffa800	BMS	5	2	0	0	0	0	27	0	0	196	0	HBU	MD	0	0000
210	Norfolk S.	25	0	$336633	$336633	$336633	$ffff00	NFS	5	7	0	0	0	0	29	1	0	190	0	HBU	VA	0	0000
211	N.C. C.	25	0	$993333	$993333	$993333	$ffffff	NCC	6	5	0	0	0	0	26	0	0	185	0	HBU	NC	0	0000
212	S.C. S.	25	0	$993333	$993333	$993333	$000099	SCS	6	5	0	0	0	0	27	0	0	-1	0	HBU	SC	0	0000
213	Illinois S.	26	0	$ffffff	$ff0000	$ff0000	$ff0000	ILS	7	3	0	0	0	0	34	0	0	232	0	0	IL	0	0000
214	Indiana S.	26	0	$0000ff	$0000ff	$ffffff	$ffffff	INS	5	2	0	0	0	0	27	0	0	-1	0	0	IN	0	0000
215	Missouri S.	26	0	$999999	$660000	$ffffff	$0000ff	MOS	6	7	0	0	0	0	27	0	0	-1	0	0	MO	0	0000
216	N. Dakota	26	0	$009933	$009933	$ffffff	$ffffff	ND.	7	5	0	0	0	2	24	0	0	217	0	0	ND	0	0000
217	N. Dakota S.	26	0	$ffff00	$006600	$ffff00	$006600	NDS	10	7	0	0	0	2	24	0	0	216	0	0	ND	0	0000
218	N. Iowa	26	0	$330066	$330066	$ffffff	$ffd700	NIA	8	5	0	0	0	2	25	0	0	-1	0	0	IA	0	0000
219	S. Dakota	26	0	$990000	$990000	$ffffff	$ffffff	SD.	7	5	0	0	0	2	24	0	0	220	0	0	SD	0	0000
220	S. Dakota S.	26	0	$0033a0	$0033a0	$ffff00	$ffff00	SDS	7	8	0	0	0	0	24	0	0	219	0	0	SD	0	0000
221	S. Illinois	26	0	$660000	$660000	$660000	$ffd700	SIL	6	7	0	0	0	0	27	0	0	-1	0	0	IL	0	0000
222	W. Illinois	26	0	$ffffff	$663399	$663399	$663399	WIL	3	5	0	0	0	0	27	0	0	-1	0	0	IL	0	0000
223	Youngstown	26	0	$ff0000	$ff0000	$ffffff	$000000	YOU	4	5	0	0	0	0	38	0	0	-1	0	0	OH	0	0000
224	C. Conn.	27	0	$0000ff	$0000ff	$0000ff	$c0c0c0	CCT	5	4	0	0	0	0	32	0	0	-1	0	0	CT	0	0000
225	Pitt. D.	27	0	$000099	$333366	$ffffff	$333366	PID	7	6	0	0	0	0	38	27	0	-1	0	0	PA	0	0000
226	Long Island	27	0	$ffd700	$66ccff	$66ccff	$ffd700	L.I	3	2	0	0	0	0	30	0	0	-1	0	0	NY	0	0000
