	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
19	Texas T.	TXT	$cc0000	$cc0000	$cc0000	$cc0000	$cc0000	$000000	$cc0000	$cc0000	$dfdfdf	$cc0000	$ffffff	$ffffff	$dfdfdf	$cc0000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	24	1	$cc0000
20	W. Virginia	WVA	$002855	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$dfdfdf	$eaaa00	$ffffff	$ffffff	$dfdfdf	$eaaa00	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	15	$eaaa00
21	Charlotte	CHA	$ffffff	$046a38	$046a38	$046a38	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$046a38	$ffffff	$ffffff	$dfdfdf	$046a38	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$046a38
22	Florida I.	FLI	$081e3f	$081e3f	$081e3f	$081e3f	$081e3f	$b6862c	$081e3f	$081e3f	$dfdfdf	$081e3f	$ffffff	$ffffff	$dfdfdf	$081e3f	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$081e3f
23	Florida A.	FLA	$003366	$003366	$003366	$003366	$ffffff	$cc0000	$ffffff	$ffffff	$dfdfdf	$003366	$ffffff	$ffffff	$dfdfdf	$003366	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$003366
24	Louisiana T.	LAT	$ffffff	$002f8b	$002f8b	$002f8b	$ffffff	$e31b23	$ffffff	$ffffff	$dfdfdf	$002f8b	$ffffff	$ffffff	$dfdfdf	$002f8b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	60	0	$002f8b
25	M. Tennessee	MTN	$666666	$0066cc	$0066cc	$0066cc	$ffffff	$0066cc	$ffffff	$ffffff	$dfdfdf	$0066cc	$ffffff	$ffffff	$dfdfdf	$0066cc	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	2	$0066cc
26	N. Texas	NTX	$00853e	$00853e	$00853e	$00853e	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$00853e	$ffffff	$ffffff	$dfdfdf	$00853e	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	32	1	$00853e
27	Houston R.	H.R	$00205b	$00205b	$00205b	$00205b	$ffffff	$c1c6c8	$ffffff	$ffffff	$dfdfdf	$00205b	$ffffff	$ffffff	$dfdfdf	$00205b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	0	$00205b
28	Alabama B.	ALB	$cca800	$006341	$006341	$006341	$cca800	$000000	$cca800	$cca800	$dfdfdf	$006341	$ffffff	$ffffff	$dfdfdf	$006341	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	0	$006341
29	Texas E.P.	TEP	$ff8200	$041e42	$041e42	$041e42	$ff8200	$ffffff	$ff8200	$ff8200	$dfdfdf	$041e42	$ffffff	$ffffff	$dfdfdf	$041e42	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	10	1	$041e42
30	Texas S.A.	TSA	$0c2340	$0c2340	$0c2340	$0c2340	$ffffff	$f15a22	$ffffff	$ffffff	$dfdfdf	$0c2340	$ffffff	$ffffff	$dfdfdf	$0c2340	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	2	20	0	$0c2340
31	W. Kentucky	WKY	$1e1e1e	$c603c0	$c603c0	$c603c0	$ffffff	$a2a4a3	$ffffff	$ffffff	$dfdfdf	$c603c0	$ffffff	$ffffff	$dfdfdf	$c603c0	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	2	$c603c0
