	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
60	Kansas S.	KAS	$d1d1d1	$512888	$512888	$512888	$d1d1d1	$ffffff	$d1d1d1	$d1d1d1	$dfdfdf	$512888	$ffffff	$ffffff	$dfdfdf	$512888	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	15	$512888
61	Oklahoma	OK.	$841617	$841617	$841617	$841617	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$841617	$ffffff	$ffffff	$dfdfdf	$841617	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	33	4	$841617
62	Oklahoma S.	OKS	$ffffff	$ff7300	$ff7300	$ff7300	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$ff7300	$ffffff	$ffffff	$dfdfdf	$ff7300	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	34	4	$ff7300
63	Ft. Worth	FTW	$606060	$4d1979	$4d1979	$4d1979	$000000	$ffffff	$000000	$000000	$dfdfdf	$4d1979	$ffffff	$ffffff	$dfdfdf	$4d1979	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	31	1	$4d1979
64	Texas	TX.	$ffffff	$bf5700	$bf5700	$bf5700	$ffffff	$bf5700	$ffffff	$ffffff	$dfdfdf	$bf5700	$ffffff	$ffffff	$dfdfdf	$bf5700	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	30	0	$bf5700
65	Texas T.	TXT	$cc0000	$cc0000	$cc0000	$cc0000	$cc0000	$000000	$cc0000	$cc0000	$dfdfdf	$cc0000	$ffffff	$ffffff	$dfdfdf	$cc0000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	24	1	$cc0000
66	W. Virginia	WVA	$002855	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$eaaa00	$dfdfdf	$eaaa00	$ffffff	$ffffff	$dfdfdf	$eaaa00	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	15	$eaaa00
67	Illinois	IL.	$e84a27	$13294b	$13294b	$13294b	$e84a27	$ffffff	$e84a27	$e84a27	$dfdfdf	$13294b	$ffffff	$ffffff	$dfdfdf	$13294b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	31	$13294b
68	Indiana	IN.	$990000	$990000	$990000	$990000	$ffffff	$ffffff	$ffffff	$ffffff	$dfdfdf	$990000	$ffffff	$ffffff	$dfdfdf	$990000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	31	$990000
69	Iowa	IA.	$000000	$000000	$000000	$000000	$ffcd00	$ffcd00	$ffcd00	$ffcd00	$dfdfdf	$000000	$ffffff	$ffffff	$dfdfdf	$000000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	36	29	$000000
70	Maryland	MD.	$000000	$e03a3e	$e03a3e	$e03a3e	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$e03a3e	$ffffff	$ffffff	$dfdfdf	$e03a3e	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	17	$e03a3e
71	Michigan	MI.	$00275d	$00275d	$00275d	$00275d	$ffd51d	$ffd51d	$ffd51d	$ffd51d	$dfdfdf	$00275d	$ffffff	$ffffff	$dfdfdf	$00275d	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	50	$00275d
72	Michigan S.	MIS	$18453b	$18453b	$18453b	$18453b	$18453b	$ffffff	$18453b	$18453b	$dfdfdf	$18453b	$ffffff	$ffffff	$dfdfdf	$18453b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	50	$18453b
73	Minnesota	MN.	$7a0019	$7a0019	$7a0019	$7a0019	$7a0019	$ffcc33	$7a0019	$7a0019	$dfdfdf	$7a0019	$ffffff	$ffffff	$dfdfdf	$7a0019	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	50	$7a0019
74	Nebraska	NEB	$ffffff	$e41c38	$e41c38	$e41c38	$ffffff	$e41c38	$ffffff	$ffffff	$dfdfdf	$e41c38	$ffffff	$ffffff	$dfdfdf	$e41c38	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	32	30	$e41c38
75	Evanston	EVA	$4e2a84	$4e2a84	$4e2a84	$4e2a84	$4e2a84	$ffffff	$4e2a84	$4e2a84	$dfdfdf	$4e2a84	$ffffff	$ffffff	$dfdfdf	$4e2a84	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	35	$4e2a84
76	Ohio S.	OHS	$666666	$bb0000	$bb0000	$bb0000	$ffffff	$bb0000	$ffffff	$ffffff	$dfdfdf	$bb0000	$ffffff	$ffffff	$dfdfdf	$bb0000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	20	$bb0000
77	Penn S.	PAS	$ffffff	$041e42	$041e42	$041e42	$ffffff	$041e42	$ffffff	$ffffff	$dfdfdf	$041e42	$ffffff	$ffffff	$dfdfdf	$041e42	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	45	$041e42
78	Indiana P.	INP	$333333	$333333	$333333	$333333	$333333	$ffcc99	$333333	$333333	$dfdfdf	$333333	$ffffff	$ffffff	$dfdfdf	$333333	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	31	$333333
79	New Jersey	N.J	$cc0033	$cc0033	$cc0033	$cc0033	$cc0033	$ffffff	$cc0033	$cc0033	$dfdfdf	$cc0033	$ffffff	$ffffff	$dfdfdf	$cc0033	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	47	25	$cc0033
80	Wisconsin	WI.	$ffffff	$c5050c	$c5050c	$c5050c	$ffffff	$c5050c	$ffffff	$ffffff	$dfdfdf	$c5050c	$ffffff	$ffffff	$dfdfdf	$c5050c	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	33	48	$c5050c
81	Charlotte	CHA	$ffffff	$046a38	$046a38	$046a38	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$046a38	$ffffff	$ffffff	$dfdfdf	$046a38	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$046a38
82	Florida I.	FLI	$081e3f	$081e3f	$081e3f	$081e3f	$081e3f	$b6862c	$081e3f	$081e3f	$dfdfdf	$081e3f	$ffffff	$ffffff	$dfdfdf	$081e3f	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$081e3f
83	Florida A.	FLA	$003366	$003366	$003366	$003366	$ffffff	$cc0000	$ffffff	$ffffff	$dfdfdf	$003366	$ffffff	$ffffff	$dfdfdf	$003366	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$003366
84	Louisiana T.	LAT	$ffffff	$002f8b	$002f8b	$002f8b	$ffffff	$e31b23	$ffffff	$ffffff	$dfdfdf	$002f8b	$ffffff	$ffffff	$dfdfdf	$002f8b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	60	0	$002f8b
85	Huntington	HUN	$ffffff	$00b140	$00b140	$00b140	$00b140	$000000	$00b140	$00b140	$dfdfdf	$00b140	$ffffff	$ffffff	$dfdfdf	$00b140	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	13	$00b140
86	M. Tennessee	MTN	$666666	$0066cc	$0066cc	$0066cc	$ffffff	$0066cc	$ffffff	$ffffff	$dfdfdf	$0066cc	$ffffff	$ffffff	$dfdfdf	$0066cc	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	45	2	$0066cc
87	N. Texas	NTX	$00853e	$00853e	$00853e	$00853e	$ffffff	$000000	$ffffff	$ffffff	$dfdfdf	$00853e	$ffffff	$ffffff	$dfdfdf	$00853e	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	32	1	$00853e
88	Norfolk	NFK	$7c878e	$003057	$003057	$003057	$7c878e	$ffffff	$7c878e	$7c878e	$dfdfdf	$003057	$ffffff	$ffffff	$dfdfdf	$003057	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	39	1	$003057
89	Houston R.	H.R	$00205b	$00205b	$00205b	$00205b	$ffffff	$c1c6c8	$ffffff	$ffffff	$dfdfdf	$00205b	$ffffff	$ffffff	$dfdfdf	$00205b	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	0	$00205b
90	S. Miss	SMS	$000000	$000000	$000000	$000000	$ffab00	$ffab00	$ffab00	$ffab00	$dfdfdf	$000000	$ffffff	$ffffff	$dfdfdf	$000000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	55	0	$000000
91	Alabama B.	ALB	$cca800	$006341	$006341	$006341	$cca800	$000000	$cca800	$cca800	$dfdfdf	$006341	$ffffff	$ffffff	$dfdfdf	$006341	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	0	$006341
92	Texas E.P.	TEP	$ff8200	$041e42	$041e42	$041e42	$ff8200	$ffffff	$ff8200	$ff8200	$dfdfdf	$041e42	$ffffff	$ffffff	$dfdfdf	$041e42	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	10	1	$041e42
93	Texas S.A.	TSA	$0c2340	$0c2340	$0c2340	$0c2340	$ffffff	$f15a22	$ffffff	$ffffff	$dfdfdf	$0c2340	$ffffff	$ffffff	$dfdfdf	$0c2340	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	2	20	0	$0c2340
94	W. Kentucky	WKY	$1e1e1e	$c603c0	$c603c0	$c603c0	$ffffff	$a2a4a3	$ffffff	$ffffff	$dfdfdf	$c603c0	$ffffff	$ffffff	$dfdfdf	$c603c0	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	2	$c603c0
95	Lynchburg	LYN	$c41230	$c41230	$c41230	$c41230	$c41230	$002d62	$c41230	$c41230	$dfdfdf	$c41230	$ffffff	$ffffff	$dfdfdf	$c41230	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	35	2	$c41230
96	Army	ARM	$d4bf91	$000000	$000000	$000000	$d4bf91	$d4bf91	$d4bf91	$d4bf91	$dfdfdf	$000000	$ffffff	$ffffff	$dfdfdf	$000000	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	25	$000000
